group,function,value,sample_time_nanos,iteration_count
[40f52ab] Fid::rank0(N) 1000000 times,,65536,95658888.0,2
[40f52ab] Fid::rank0(N) 1000000 times,,65536,190612744.0,4
[40f52ab] Fid::rank0(N) 1000000 times,,65536,285715966.0,6
[40f52ab] Fid::rank0(N) 1000000 times,,65536,380637708.0,8
[40f52ab] Fid::rank0(N) 1000000 times,,65536,476292724.0,10
[40f52ab] Fid::rank0(N) 1000000 times,,65536,623752485.0,12
[40f52ab] Fid::rank0(N) 1000000 times,,65536,727768732.0,14
[40f52ab] Fid::rank0(N) 1000000 times,,65536,836153711.0,16
[40f52ab] Fid::rank0(N) 1000000 times,,65536,930926771.0,18
[40f52ab] Fid::rank0(N) 1000000 times,,65536,1040034872.0,20
