group,function,value,sample_time_nanos,iteration_count
[40f52ab] Fid::select0(N) 1000 times,,262144,46889317.0,48
[40f52ab] Fid::select0(N) 1000 times,,262144,94542831.0,96
[40f52ab] Fid::select0(N) 1000 times,,262144,141610439.0,144
[40f52ab] Fid::select0(N) 1000 times,,262144,190159653.0,192
[40f52ab] Fid::select0(N) 1000 times,,262144,238840958.0,240
[40f52ab] Fid::select0(N) 1000 times,,262144,289266861.0,288
[40f52ab] Fid::select0(N) 1000 times,,262144,337118998.0,336
[40f52ab] Fid::select0(N) 1000 times,,262144,389714905.0,384
[40f52ab] Fid::select0(N) 1000 times,,262144,438102249.0,432
[40f52ab] Fid::select0(N) 1000 times,,262144,487535776.0,480
